title	onet_code	onet_name	job_zone	company	city	state	description_all
Lathe Operator	51-4034.00	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	2	LSI Staffing	MOUNDRIDGE	KS	Bradbury in Moundridge is hiring through LSI Staffing: All positions are 90 day temp to hire and are on 2nd shift: 3: 30pm-Midnight. 10-15% Overtime Available. Physically demanding positions requiring 50-100 Pounds lifting at times. A good candidate must possess Industrial Experience with preference giving to Machinist Experience or Metal working. Must be mechanically inclined. Good work ethic and motivation. . Ability to read a tape measure and use calipers/micrometers. Ability to pass a pre-employment drug screen. Company will train the right individual but experience is strongly preferred. Requires Steel Toed Boots. $12-$22/hr Based on Experience. Shift differential on 2nd shift of $1.00 per hour.
Warehouse Worker	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Resource Employment Solutions	MONTEBELLO	CA	Employee will be pulling finished product from production are to blast freezer. They will need to place product in assigned staging area and place shipping labels on boxes. Product must be sorted by scheduled routes for clients. The position will entail the following:- Bending - Lifting 35 lbs.- Reaching over their shoulder - Walking- Working in freezer- Working in a refrigeratorWorking in and out of blast freezer to cooling room. Taking product and distributing to different work stations. Must be able to distinguish product codes. Will be bending and lifting 30 lbs. Standing for 8 hours.
Customer Service Representative Job ID: JLS3129	43-4051.00	Customer Service Representatives	2	Hort-Assist	WORCESTER	MA	Job Description The Customer Service Representative is a full-time position responsible for answering incoming calls from customers and/or members while ensuring a high level of customer service and maximizing productivity in our call center facility. Qualifications null Additional Information All your information will be kept confidential according to EEO guidelines.
Cashier Job ID: JLS1099	41-2011.00	Cashiers	1	Hort-Assist	TUCSON	AZ	"Job Description Costco is looking to hire a full-time service cashier clerk to provide prompt courteous member customer service. Competitive Pay, Great Benefits, Paid Vacation Qualifications null Additional Information All your information will be kept confidential according to EEO guidelines."
Ready Mix Delivery Professionals	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	South Dakota State Government	ABERDEEN	SD	"Applicants must have a valid Class B Commercial Driver’s License with airbrakes and a good driving record. Will work Monday - Friday, Occasional Saturdays approximately 50 - 60 hours per week. Salary depends on experience & qualifications.\\nReady Mix Delivery Professionals.\\n\\nWorksite Address Aberdeen, SD 57401\\nBenefits Information"
Home Health Aide - Denton county	31-1011.00	Home Health Aides	2	CareCycle Solutions	ARLINGTON	TX	"The Home Health Aide is responsible for providing personal care services, comfort measures and environmental services in the patient’s home according to written directions prepared by the Registered Nurse and carried out under the supervision of the appropriate professional in order to achieve the stated goals and objectives of the Agency. Perform a variety of patient care activities under the supervision of a Registered Nurse. Adhere to infection control in ho Required, adequate knowledge of quality nursing practices Required, able to learn about the aged patient and their needs Required, ability to read, write and communicate effectively in English Required, evidence of the practice of a high level of confidentiality. Required, personal vehicle with current liability insurance Required, current and valid TX/LA drivers license Required, current CPR certification Educatio"
Open House for Warehouse Clerks Fullerton/Brea	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Randstad	FULLERTON	CA	Open house will be held at  Randstad Staffing in Orange 600 City Parkway West  120 Orange  CA 92868  When  Wednesday July 30  from 10am to 1 00pm  Please make sure you apply at www randstadstaffing com  1  Go to  Job Search  2  type in keyword or 3  your Zip Code 4  Search and  apply  fill out a profile thoroughly   Apply for any position   Needed upon arrival  Must have a resume in hand and experience with the following jobs
HOUSEKEEPER - BREAKERS ROW I	37-2012.00	Maids and Housekeeping Cleaners	2	The Breakers	PALM BEACH	FL	"Seeking a guest service and team oriented individual to join our Housekeeping team at Breakers Row I. Prior housekeeping experience is required. Candidates must be fluent in English and possess effective written and verbal communication skills. Position entails personalized cleaning services, ironing, and maintaining cleanliness of building common areas. Must be able to prioritize tasks and be willing to handle diverse work assignments.Shift is 8:00 AM - 4:30 PM"
Bus Driver - Regular Calendar - 6.0 hours/day	53-3021.00	"Bus Drivers, Transit and Intercity"	2	Champaign Community School District #4	CHAMPAIGN	IL	"Qualifications Must be at least 21 years of age Must hold or be able to obtain a ""Class B"" CDL license and a school bus driver permit Must have held an Illinois driver's license for the past three consecutive years and have a good driving record Must be able to pass the annually required drug and alcohol screenings and physical examination Must attend required course(s) of instruction for school bus drivers Good Human Relations & Communication Skills May Interview After July 21, 2014"
General Worker	51-9198.00	Helpers--Production Workers	1	Resource Employment Solutions	TERRE HAUTE	IN	"National Company is looking for reliable hardworkers to help in warehouse and manufacturing plant.Duties vary and will include general assistance with moving of materials and building maintenance. Includes repetitive items such as sweeping and mopping floors,empty trash and transporting trash and waste to disposal areas.Must be abe to lift up to 25lbsMust be able to follow direction and work well with othersVarious shifts availablePay starts at $9 an hourTo apply for this position please follow link:http://www.resourceemployment.com..."
"Cook, Line and Banquet Prep"	35-2014.00	"Cooks, Restaurant"	2	South Dakota State Government	PIERRE	SD	"Will work variable days of the week including weekends and holidays.\\nMay be scheduled days or evenings.\\nSeeking someone experienced in preparing soups and sauces, daily operation cooking and banquet prep.\\nMust be able to follow standardized recipes and possess good knife skills.\\nSalary is negotiable depending on experience.\\nBenefits will be explained at an interview.\\nWorksite Address Pierre, SD 57501\\nBenefits Information 401K, Health Insurance, Sick Leave, Vacation"
Pre-School After Care Aide	39-9011.00	Childcare Workers	2	Clark Public Schools	CLARK	NJ	"2013-2014 School Year Pre-School After Care Aide ( 3: 00PM-6:00PM ) $13.50 per hour/no benefits Three letters of recommendations required with application Applicants must include a cover letter to: Superintendent Kenneth J. Knops Applications Will Be Accepted Until End of Day on August 1, 2014"
Specialist Housekeeping 2	37-2012.00	Maids and Housekeeping Cleaners	2	Golden Living - 360 Healthcare Staffing	SUWANEE	GA	"Supervise day-to-day housekeeping, laundry and related functions to include staffing, supply ordering and supervision to ensure policy and standards are met.RECRUITING DONE BY PPR TALENT SOLUTIONS; PPR ATS JOB ID 802401"
Customer Service Representative	43-4051.00	Customer Service Representatives	2	David Traugott - State Farm Agency Intern	MOORESVILLE	NC	"Position Overview Are you outgoing and customer-focused? Do you enjoy working with the public? If you answered yes to these questions, working for a future independent contractor State Farm Agent may be the career for you! You will receive the necessary training needed to pursue this..."
Pediatric Job In Beautiful Sunny Los Angeles! CLick Here to contact me for details!	43-4151.00	Order Clerks	2	LocumTenens.com	0	CA	"Location Data: Los Angeles, CA\\nSpecialty: Pediatrician\\nAny Other Specialties Accepted: none\\nSchedule: Monday-Friday, 8am-5pm\\nCall Schedule: No call\\nPatient Volume Per Shift: 20-25 ppd\\nPatient Ages Seen: All ages\\nProcedures (if any): General Outpatient\\nSpecific Requirements:\\nJob Number: 255575"
Customer Service Representative/BDC Operator	43-2011.00	"Switchboard Operators, Including Answering Service"	2	Rosner Auto Group	FREDERICKSBURG	VA	"Provides customer service through the telephone for sales and service. ? Answers inbound telephone calls promptly to address questions and/or customer needs. ? Knows the operating times of all service and sales departments at individual stores. ? Communicates clearly in a manner which conveys information to the customer. ? Makes outbound calls for quality assurance, follow up, scheduling or to meet additional customer needs. ? Refers issues to BDC Manager appropriately and promptly."
Assistant Manager(07088) - 16929 Se 270 PL B-102	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	Dominos Pizza	COVINGTON	WA	"You were born to be the boss. We know. You get up in the morning and you make sure everyone else in the house is doing what they need to do. Then you go to work and you make sure that everyone there is doing what they need to do, even your boss. You just do that because you've always done it. Well maybe it's time you moved up. You want to be the boss? Well now's your chance - Domino's Pizza is hiring bosses - more specifically assistant managers. It's a tough job, one that needs a natural like you. Of course, you'll need some skills - judgement, math and the ability to multitask. Apply now for more details!"
Medical Offie Clerk - Full Time & PRN	43-6013.00	Medical Secretaries	2	"LifePoint Hospitals, Inc"	GEORGETOWN	KY	"Under the general direction of the Physician Office Manager, performs a variety of patient care activities and accommodative services to assigned patients of all ages.  Supports the medical and multidisciplinary plan of care, as well as the objectives of the practice.  Collects payments from patients. Refers significant information or concerns to Physician or Office Manager.\\n\\nQualifications\\n\\nHigh school graduate, previous experience in the healthcare, with customer service and understanding of general office equipment.\\n\\nJob\\nAdministration/Clerical\\n\\nPrimary Location\\nKentucky-Georgetown\\n\\nSchedule\\nFull-time\\n\\nShift\\nDay Job"
Medical Offie Clerk - Full Time & PRN	43-6013.00	Medical Secretaries	2	Lifepoint Hospitals	GEORGETOWN	KY	"Under the general direction of theï¿_ï¿_ï¿_Physician Office Manager, performs a variety of patient care activities and accommodative services to assigned patients of all ages.ï¿_ï¿_ï¿_ Supports the medical and multidisciplinary plan of care, as well as the objectives of the practice.ï¿_ï¿_ï¿_ Collects payments from patients. Refers significant information or concerns to Physician or Office Manager.High school graduate, previous experience in the healthcare, with customer service and understanding of general office equipment."
Processer/Data Entry	43-9021.00	Data Entry Keyers	2	Kforce Finance & Accounting	CAMBRIDGE	MA	"Our client is seeking a Processer/Data Entry team member for their Cambridge, Massachusetts location. This is a great opportunity for a full time position with this company. This position is required to/ responsible for: * Ensure orders are processed according to company guidelines and order processing approved procedures; this team member must maintain these levels to demonstrate consistency over time* Assist with directing day-to-day order processing work flow* Identify and escalate order issues to supervisor in a timely manner* Adhere to weekly and quarterly defined team metrics * Review purchase orders for accuracy and identify missing or incorrect information* Meet minimum daily order count and accuracy targets for order processing* Participate in month and quarter end closing* Identify and raise issues; work closely with supervisor to resolve these issues"
Data Entry Operator II	43-9021.00	Data Entry Keyers	2	Axelon Services Corporation	KIRKSVILLE	MO	Data collection and reporting transferring data into Excel spreadsheet . This person will need to be able to handle a cold environment for extended periods of time. In addition they will be working early hours. Starting as early as 4am ready at the line. This facility makes bacon. Early mornings- 4am Project could last a few weeks longer 40 hours per week but are fine with those looking for part-time too (20 hours per week) Project will likely last through the end of the year but extensions will be done monthly.
Contract Occuaptional Therapy (OT) hob open in Boston schools!	31-2022.00	Physical Therapist Aides	2	ProCare Therapy	BOSTON	MA	Our client in Boston is looking for a schools based Occuaptaional Therapist (OT) who can interview and start immediatley. This is a very HOT OT job!!\\n\\nWe are looking for a MA licensed OT who is wanting to become a great team member in a great school district! This is a full time job for the current school year. You will be working with kiddos ages 4-14 in two locations. You will be observing and evaluation the students' disabilities and writing IEP goals for the year. You will provide direct therapy while also working as a team memeber to collaboarate with the other therapists and parents.\\n\\nPlease contact Ashley Falk to learn about our full time benefits!\\n877.480.7470\\nashley.falk@procaretherapy.com
G Custodian	37-1011.00	First-Line Supervisors of Housekeeping and Janitorial Workers	2	Walmart Military	AUBURN	IN	"Position Type Hourly Shift 5 Position Description Communicate with (or to) individuals or groups verbally and/or in writing (e.g. customers, suppliers, associates). Detail clean (e.g., sweep, mop, clean spills) office, restrooms, and/or warehouse areas. Maintain (e.g., stock, clean, organize) and record inventory of required cleaning tools and supplies, including janitorial or supply closets and carts. Mix chemicals used for equipment or cleaning. Operate and maintain sweeper/scrubber to sweep and mop warehouse floors. Stock, clean, and maintain vending and soda machines. Job Role G_Custodian Location AUBURN"
Telematics Security Senior Technical Specialist Job	33-9032.00	Security Guards	2	Chrysler	AUBURN HILLS	MI	"The Telematics Security Senior Technical Specialist will research, develop and design embedded and server based security solutions from architecture to detailed software requirement specifications for tier 1 supplier Telematics solutions. In addition, the selected candidate will be responsible for research, development and execution of security solutions for embedded telematics controller, application frameworks, connectivity managers, in-vehicle communication interfaces, and service delivery platform. The Specialist will develop and maintain security threat models and end-to-end validation strategies and will maintain industry expertise on leading best practices and solutions for telematics security."
Server	35-3031.00	Waiters and Waitresses	1	Legal Sea Foods	ATLANTA	GA	"Close Window Server Click to view position locations Below is a brief overview of the role; it is not the complete job description. The Server is responsible for taking guests orders and serving food & beverages according to company standards. The Server is one of the primary contacts that a guest has with LSF, and the Server must maintain a friendly & attentive demeanor at all times. The Server directly reports to the FOH Manager or Manager on Duty. Close Window"
