cluster_2	new_type	feature	cluster	type
14	Unknown	management skills advanced knowledge	6	knowledge
14	Unknown	skills experience knowledge	6	knowledge
14	Unknown	the organization skills knowledge	6	knowledge
14	Unknown	the knowledge skill andor	6	knowledge
14	Unknown	of knowledge skills and	6	knowledge
14	Unknown	sales skills knowledge	6	knowledge
14	Unknown	sales skills knowledge competency	6	knowledge
14	Unknown	sales skills with knowledge	6	knowledge
14	Unknown	skills good knowledge of	6	knowledge
14	Unknown	skills good working knowledge	6	knowledge
14	Unknown	skills in depth knowledge	6	knowledge
14	Unknown	skills including knowledge	6	knowledge
14	Unknown	skills including knowledge of	6	knowledge
14	Unknown	skills good knowledge	6	knowledge
14	Unknown	skills experience considerable knowledge	6	knowledge
14	Unknown	skills experience superior knowledge	6	knowledge
14	Unknown	the skill and knowledge	6	knowledge
14	Unknown	service skills knowledge	6	knowledge
14	Unknown	skills experience thorough knowledge	6	knowledge
14	Unknown	skills and knowledge participate	6	knowledge
14	Unknown	skills and knowledge to	6	knowledge
14	Unknown	skills and knowledge for	6	knowledge
14	Unknown	skills and exceptional knowledge	6	knowledge
14	Unknown	skills and knowledge candidate	6	knowledge
14	Unknown	schedule knowledge skills	6	knowledge
14	Unknown	schedule knowledge skills and	6	knowledge
14	Unknown	service skills knowledge of	6	knowledge
14	Unknown	qualifications skills experience knowledge	6	knowledge
14	Unknown	qualifications knowledge skill	6	knowledge
14	Unknown	applicable knowledge skills	6	knowledge
14	Unknown	qualificationsminimum qualifications knowledge skills	6	knowledge
14	Unknown	proficient skills and knowledge	6	knowledge
14	Unknown	selling knowledge skills	6	knowledge
14	Unknown	prerequisite skills and knowledge	6	knowledge
14	Unknown	knowledge and skills proficiency	6	knowledge
14	Unknown	knowledge and skills to	6	knowledge
14	Unknown	qualifications knowledge skills	6	knowledge
14	Unknown	skill or knowledge in	6	knowledge
14	Unknown	knowledge and skill typically	6	knowledge
14	Unknown	specific knowledge skills	6	knowledge
14	Unknown	skills to gain knowledge	6	knowledge
14	Unknown	skills basic knowledge	6	knowledge
14	Unknown	skills basic knowledge of	6	knowledge
14	Unknown	skills and working knowledge	6	knowledge
14	Unknown	skills strong working knowledge	6	knowledge
14	Unknown	possess the knowledge skill	6	knowledge
14	Unknown	skills pops system knowledge	6	knowledge
14	Unknown	sets knowledge skills	6	knowledge
14	Unknown	sets knowledge skills and	6	knowledge
14	Unknown	specific knowledge skills successful	6	knowledge
14	Unknown	skill and knowledge	6	knowledge
14	Unknown	skills with knowledge	6	knowledge
14	Unknown	skills with knowledge of	6	knowledge
14	Unknown	skills knowledge of microsoft	6	knowledge
14	Unknown	skills knowledge competency is	6	knowledge
14	Unknown	skills knowledge of basic	6	knowledge
14	Unknown	skills knowledge of fashion	6	knowledge
14	Unknown	skills knowledge of industry	6	knowledge
14	Unknown	skills knowledge competency	6	knowledge
14	Unknown	skills knowledge of liquor	6	knowledge
14	Unknown	to the knowledge skills	6	knowledge
14	Unknown	proposition additional knowledge skills	6	knowledge
14	Unknown	mathematical skills basic knowledge	6	knowledge
14	Unknown	knowledge or skill	6	knowledge
14	Unknown	volumesfunctional area skills knowledge	6	knowledge
14	Unknown	gain the knowledge skills	6	knowledge
14	Unknown	information qualifications knowledge skills	6	knowledge
14	Unknown	interpersonal skills knowledge	6	knowledge
14	Unknown	interpersonal skills knowledge of	6	knowledge
14	Unknown	tasks knowledge skills	6	knowledge
14	Unknown	tasks knowledge skills and	6	knowledge
14	Unknown	sales knowledge skills	6	knowledge
14	Unknown	sales knowledge skills the	6	knowledge
14	Unknown	revenue sales knowledge skills	6	knowledge
14	Unknown	training beneficial knowledge skills	6	knowledge
14	Unknown	relationship building skills knowledge	6	knowledge
14	Unknown	people skills knowledge	6	knowledge
14	Unknown	people skills knowledge of	6	knowledge
14	Unknown	organization skills knowledge	6	knowledge
14	Unknown	light articles knowledge skills	6	knowledge
14	Unknown	strong people skills knowledge	6	knowledge
14	Unknown	ms office knowledge skills	6	knowledge
14	Unknown	knowledge people skills energy	6	knowledge
14	Unknown	knowledge people skills	6	knowledge
14	Unknown	knowledge and skills necessary	6	knowledge
14	Unknown	knowledge and skills high	6	knowledge
14	Unknown	knowledge and skills good	6	knowledge
14	Unknown	knowledge and skillsdesired skills	6	knowledge
14	Unknown	knowledge is helpful skills	6	knowledge
14	Unknown	knowledge and skills excellent	6	knowledge
14	Unknown	knowledge and skills desired	6	knowledge
14	Unknown	knowledge and skills with	6	knowledge
14	Unknown	knowledge and skills within	6	knowledge
14	Unknown	and complete knowledge skills	6	knowledge
14	Unknown	authority experience knowledge skills	6	knowledge
14	Unknown	branch appointments knowledge skills	6	knowledge
14	Unknown	beneficial knowledge skills	6	knowledge
14	Unknown	listening skills and knowledge	6	knowledge
14	Unknown	experiences knowledge and skills	6	knowledge
14	Unknown	field specific knowledge skills	6	knowledge
14	Unknown	will have knowledge skills	6	knowledge
14	Unknown	office knowledge skills	6	knowledge
14	Unknown	word additional knowledge skills	6	knowledge
14	Unknown	manager desirable knowledge skills	6	knowledge
14	Unknown	management skills knowledge of	6	knowledge
14	Unknown	manufacturing company knowledge skill	6	knowledge
14	Unknown	improve knowledge and skills	6	knowledge
14	Unknown	improve knowledge skills	6	knowledge
14	Unknown	improve knowledge skills and	6	knowledge
14	Unknown	if applicable knowledge skills	6	knowledge
14	Unknown	knowledge and critical skills	6	knowledge
